Caso;Ocorrência;Atividade;Customer ID;Revenue;Costs;Pizza Type;Pizza Size;Customer Satisfaction;Cost Factor;Weekday;Daytime;Distribution Channel;Customer Location;Customer Type
1;15/06/2018 09:37:49;Order by phone;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:40:49;Start preparing pizza;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:45:49;Call Customer;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:46:49;Start preparing pizza;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:53:49;Start baking pizza;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:54:49;Baking pizza ready;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:55:49;Plan route;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 09:56:49;Departure pizza;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 10:02:49;Pizza arrives at customer;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
1;15/06/2018 10:06:49;Payment customer;17;10;47;Salami;Small;2;Chef 1;Sunday;21;Deliver Now Holding;Munich District One;Teenager
2;27/05/2018 04:22:17;Order by phone;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:25:17;Start preparing pizza;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:27:17;Start baking pizza;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:29:17;Baking pizza ready;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:30:17;Departure pizza;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:30:17;Plan route;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:39:17;Pizza arrives at customer;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
2;27/05/2018 04:40:17;Payment customer;78;11;7;Magherita;Large;4;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
3;03/05/2018 18:24:04;Start order website;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
